,Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,dayofweek_num,dayofweek_name,control_stock
125,1991-07-01,478.05999800000006,481.55999800000006,476.97000099999997,481.30999800000006,481.30999800000006,121930000,1991,7,1,0,Monday,sellersControl
126,1991-07-02,480.77999900000003,480.920013,478.619995,478.77999900000003,478.77999900000003,136540000,1991,7,2,1,Tuesday,buyersControl
127,1991-07-03,475.14999400000005,477.02999900000003,473.17999299999997,474.32000700000003,474.32000700000003,125020000,1991,7,3,2,Wednesday,buyersControl
128,1991-07-05,474.170013,475.079987,473.209991,474.049988,474.049988,56260000,1991,7,5,4,Friday,buyersControl
129,1991-07-08,471.829987,479.51998899999995,471.23999000000003,479.51000999999997,479.51000999999997,121790000,1991,7,8,0,Monday,sellersControl
130,1991-07-09,481.589996,485.10998499999994,480.869995,483.64001500000006,483.64001500000006,151480000,1991,7,9,1,Tuesday,sellersControl
131,1991-07-10,484.39999400000005,489.290009,484.39999400000005,487.170013,487.170013,171610000,1991,7,10,2,Wednesday,sellersControl
132,1991-07-11,486.75,488.5,486.209991,488.369995,488.369995,140030000,1991,7,11,3,Thursday,sellersControl
133,1991-07-12,490.119995,492.709991,488.130005,492.709991,492.709991,155470000,1991,7,12,4,Friday,sellersControl
134,1991-07-15,493.64001500000006,496.329987,493.079987,496.19000199999994,496.19000199999994,137950000,1991,7,15,0,Monday,sellersControl
135,1991-07-16,496.700012,497.39001500000006,493.60000599999995,493.60000599999995,493.60000599999995,156950000,1991,7,16,1,Tuesday,buyersControl
136,1991-07-17,492.950012,493.55999800000006,491.30999800000006,493.420013,493.420013,160940000,1991,7,17,2,Wednesday,sellersControl
137,1991-07-18,494.160004,496.950012,493.85998499999994,496.799988,496.799988,171730000,1991,7,18,3,Thursday,sellersControl
138,1991-07-19,497.630005,498.670013,496.32000700000003,497.549988,497.549988,177000000,1991,7,19,4,Friday,buyersControl
139,1991-07-22,497.44000199999994,497.55999800000006,494.410004,494.98999000000003,494.98999000000003,127910000,1991,7,22,0,Monday,buyersControl
140,1991-07-23,494.44000199999994,495.98001100000005,489.64999400000005,489.64999400000005,489.64999400000005,144700000,1991,7,23,1,Tuesday,buyersControl
141,1991-07-24,487.89999400000005,490.25,487.420013,487.420013,487.420013,147250000,1991,7,24,2,Wednesday,buyersControl
142,1991-07-25,487.89999400000005,490.51000999999997,487.579987,490.27999900000003,490.27999900000003,134740000,1991,7,25,3,Thursday,sellersControl
143,1991-07-26,490.619995,492.97000099999997,490.48001100000005,492.69000199999994,492.69000199999994,124560000,1991,7,26,4,Friday,sellersControl
144,1991-07-29,492.35000599999995,493.51000999999997,490.98001100000005,493.35000599999995,493.35000599999995,121670000,1991,7,29,0,Monday,sellersControl
145,1991-07-30,495.05999800000006,498.26998899999995,494.22000099999997,498.26998899999995,498.26998899999995,152260000,1991,7,30,1,Tuesday,sellersControl
146,1991-07-31,499.619995,502.130005,498.339996,502.040009,502.040009,160320000,1991,7,31,2,Wednesday,sellersControl
147,1991-08-01,502.26998899999995,504.299988,501.73001100000005,504.14999400000005,504.14999400000005,160100000,1991,8,1,3,Thursday,sellersControl
148,1991-08-02,506.51998899999995,507.25,504.329987,505.670013,505.670013,148490000,1991,8,2,4,Friday,buyersControl
149,1991-08-05,504.290009,505.01000999999997,502.5,502.60998499999994,502.60998499999994,117090000,1991,8,5,0,Monday,buyersControl
150,1991-08-06,502.660004,505.39001500000006,501.48999000000003,505.200012,505.200012,149720000,1991,8,6,1,Tuesday,sellersControl
151,1991-08-07,506.77999900000003,507.64999400000005,505.60000599999995,507.459991,507.459991,177270000,1991,8,7,2,Wednesday,sellersControl
152,1991-08-08,508.450012,510.23999000000003,507.880005,509.39001500000006,509.39001500000006,161590000,1991,8,8,3,Thursday,sellersControl
153,1991-08-09,509.14999400000005,509.89999400000005,507.589996,508.30999800000006,508.30999800000006,140780000,1991,8,9,4,Friday,buyersControl
154,1991-08-12,507.64001500000006,510.23001100000005,507.23001100000005,510.0,510.0,114070000,1991,8,12,0,Monday,sellersControl
155,1991-08-13,511.51998899999995,515.1900019999999,510.910004,514.400024,514.400024,166820000,1991,8,13,1,Tuesday,sellersControl
156,1991-08-14,516.22998,517.929993,515.299988,517.679993,517.679993,108730000,1991,8,14,2,Wednesday,sellersControl
157,1991-08-15,517.77002,518.400024,515.320007,515.669983,515.669983,159480000,1991,8,15,3,Thursday,buyersControl
158,1991-08-16,514.72998,515.8099980000001,510.89001500000006,512.469971,512.469971,135100000,1991,8,16,4,Friday,buyersControl
159,1991-08-19,489.35998499999994,504.97000099999997,487.079987,497.64001500000006,497.64001500000006,161590000,1991,8,19,0,Monday,sellersControl
160,1991-08-20,502.27999900000003,504.0,499.10000599999995,502.049988,502.049988,145430000,1991,8,20,1,Tuesday,buyersControl
161,1991-08-21,510.670013,517.969971,505.51000999999997,517.969971,517.969971,192750000,1991,8,21,2,Wednesday,sellersControl
162,1991-08-22,517.849976,519.1400150000001,516.340027,518.299988,518.299988,157460000,1991,8,22,3,Thursday,sellersControl
163,1991-08-23,519.210022,521.400024,516.26001,521.0599980000001,521.0599980000001,172120000,1991,8,23,4,Friday,sellersControl
164,1991-08-26,520.429993,521.469971,519.340027,521.380005,521.380005,112280000,1991,8,26,0,Monday,sellersControl
165,1991-08-27,522.200012,522.219971,519.289978,521.75,521.75,139670000,1991,8,27,1,Tuesday,buyersControl
166,1991-08-28,522.450012,526.289978,521.8900150000001,526.289978,526.289978,165660000,1991,8,28,2,Wednesday,sellersControl
167,1991-08-29,527.030029,527.710022,525.340027,526.3900150000001,526.3900150000001,158800000,1991,8,29,3,Thursday,buyersControl
168,1991-08-30,525.6400150000001,526.5,523.630005,525.679993,525.679993,129400000,1991,8,30,4,Friday,sellersControl
169,1991-09-03,526.299988,526.530029,520.869995,520.909973,520.909973,134330000,1991,9,3,1,Tuesday,buyersControl
170,1991-09-04,520.700012,521.599976,517.299988,517.919983,517.919983,154070000,1991,9,4,2,Wednesday,buyersControl
171,1991-09-05,517.869995,518.76001,516.409973,516.929993,516.929993,167420000,1991,9,5,3,Thursday,buyersControl
172,1991-09-06,516.8599849999999,518.289978,516.4400019999999,516.9400019999999,516.9400019999999,149330000,1991,9,6,4,Friday,sellersControl
173,1991-09-09,516.47998,518.070007,516.340027,518.070007,518.070007,105850000,1991,9,9,0,Monday,sellersControl
174,1991-09-10,516.450012,518.25,511.049988,511.27999900000003,511.27999900000003,146780000,1991,9,10,1,Tuesday,buyersControl
175,1991-09-11,511.89999400000005,514.799988,511.35000599999995,514.76001,514.76001,151800000,1991,9,11,2,Wednesday,sellersControl
176,1991-09-12,518.3599849999999,521.130005,516.76001,521.130005,521.130005,172800000,1991,9,12,3,Thursday,sellersControl
177,1991-09-13,520.289978,521.570007,516.150024,516.710022,516.710022,166630000,1991,9,13,4,Friday,buyersControl
178,1991-09-16,516.3099980000001,516.98999,514.1099849999999,515.679993,515.679993,137570000,1991,9,16,0,Monday,buyersControl
179,1991-09-17,516.080017,516.169983,513.8900150000001,515.169983,515.169983,166960000,1991,9,17,1,Tuesday,buyersControl
180,1991-09-18,514.22998,518.719971,513.820007,518.549988,518.549988,133250000,1991,9,18,2,Wednesday,sellersControl
181,1991-09-19,519.73999,523.469971,519.169983,522.669983,522.669983,203950000,1991,9,19,3,Thursday,sellersControl
182,1991-09-20,525.070007,528.169983,523.97998,527.1900019999999,527.1900019999999,226510000,1991,9,20,4,Friday,sellersControl
183,1991-09-23,526.26001,526.460022,524.119995,524.6900019999999,524.6900019999999,158860000,1991,9,23,0,Monday,buyersControl
184,1991-09-24,525.5,526.539978,523.0599980000001,526.469971,526.469971,179750000,1991,9,24,1,Tuesday,sellersControl
185,1991-09-25,526.5,528.419983,526.01001,527.820007,527.820007,178120000,1991,9,25,2,Wednesday,sellersControl
186,1991-09-26,525.22998,528.289978,524.97998,526.9400019999999,526.9400019999999,172340000,1991,9,26,3,Thursday,sellersControl
187,1991-09-27,529.1400150000001,529.210022,523.960022,524.47998,524.47998,168300000,1991,9,27,4,Friday,buyersControl
188,1991-09-30,524.619995,526.880005,522.380005,526.880005,526.880005,141030000,1991,9,30,0,Monday,sellersControl
189,1991-10-01,527.1400150000001,528.849976,525.880005,528.51001,528.51001,162680000,1991,10,1,1,Tuesday,sellersControl
190,1991-10-02,528.460022,529.210022,526.1400150000001,526.330017,526.330017,179610000,1991,10,2,2,Wednesday,buyersControl
191,1991-10-03,524.530029,525.75,519.8099980000001,520.51001,520.51001,179370000,1991,10,3,3,Thursday,buyersControl
192,1991-10-04,520.340027,522.650024,519.919983,520.400024,520.400024,151230000,1991,10,4,4,Friday,sellersControl
193,1991-10-07,517.9400019999999,519.630005,515.9400019999999,516.200012,516.200012,133850000,1991,10,7,0,Monday,buyersControl
194,1991-10-08,515.72998,517.25,514.8099980000001,517.25,517.25,158960000,1991,10,8,1,Tuesday,sellersControl
195,1991-10-09,516.429993,517.22998,513.799988,513.8099980000001,513.8099980000001,165400000,1991,10,9,2,Wednesday,buyersControl
196,1991-10-10,514.47998,516.409973,513.210022,515.9400019999999,515.9400019999999,166800000,1991,10,10,3,Thursday,sellersControl
197,1991-10-11,517.969971,519.159973,517.159973,519.049988,519.049988,145010000,1991,10,11,4,Friday,sellersControl
198,1991-10-14,521.02002,525.659973,519.789978,525.659973,525.659973,117080000,1991,10,14,0,Monday,sellersControl
199,1991-10-15,526.76001,534.1099849999999,526.6400150000001,534.1099849999999,534.1099849999999,177930000,1991,10,15,1,Tuesday,sellersControl
200,1991-10-16,535.219971,540.9400019999999,525.659973,540.9400019999999,540.9400019999999,223330000,1991,10,16,2,Wednesday,sellersControl
201,1991-10-17,538.159973,539.880005,535.3099980000001,536.27002,536.27002,226840000,1991,10,17,3,Thursday,buyersControl
202,1991-10-18,537.280029,539.150024,536.919983,538.900024,538.900024,212130000,1991,10,18,4,Friday,sellersControl
203,1991-10-21,538.3099980000001,538.950012,535.780029,536.960022,536.960022,158140000,1991,10,21,0,Monday,buyersControl
204,1991-10-22,539.3599849999999,539.48999,536.869995,537.1400150000001,537.1400150000001,180130000,1991,10,22,1,Tuesday,buyersControl
205,1991-10-23,537.8900150000001,538.419983,534.1400150000001,535.169983,535.169983,199760000,1991,10,23,2,Wednesday,buyersControl
206,1991-10-24,533.960022,535.429993,527.630005,528.75,528.75,199360000,1991,10,24,3,Thursday,buyersControl
207,1991-10-25,526.8099980000001,528.400024,524.929993,525.130005,525.130005,173950000,1991,10,25,4,Friday,buyersControl
208,1991-10-28,526.570007,529.409973,526.570007,529.409973,529.409973,145910000,1991,10,28,0,Monday,sellersControl
209,1991-10-29,531.099976,534.530029,529.869995,534.51001,534.51001,182350000,1991,10,29,1,Tuesday,sellersControl
210,1991-10-30,537.549988,541.349976,535.6099849999999,541.320007,541.320007,202590000,1991,10,30,2,Wednesday,sellersControl
211,1991-10-31,541.789978,543.01001,540.960022,542.97998,542.97998,228520000,1991,10,31,3,Thursday,sellersControl
212,1991-11-01,542.169983,543.6099849999999,539.8900150000001,540.929993,540.929993,205420000,1991,11,1,4,Friday,buyersControl
213,1991-11-04,539.070007,540.73999,536.650024,537.5,537.5,154800000,1991,11,4,0,Monday,buyersControl
214,1991-11-05,537.830017,540.369995,537.25,538.820007,538.820007,176980000,1991,11,5,1,Tuesday,sellersControl
215,1991-11-06,539.27002,540.700012,537.8099980000001,539.47998,539.47998,191180000,1991,11,6,2,Wednesday,sellersControl
216,1991-11-07,540.179993,545.48999,540.070007,545.280029,545.280029,216080000,1991,11,7,3,Thursday,sellersControl
